country,population,area_km2,region,subregion,num_languages,num_borders,population_density
Cook Islands,15040,236.0,Oceania,Polynesia,2,0,63.73
Guinea,14363931,245857.0,Africa,Western Africa,1,6,58.42
Christmas Island,1692,135.0,Oceania,Australia and New Zealand,1,0,12.53
Togo,8095498,56785.0,Africa,Western Africa,1,3,142.56
Taiwan,23317031,36197.0,Asia,Eastern Asia,1,0,644.17
Kyrgyzstan,7281800,199951.0,Asia,Central Asia,2,4,36.42
Suriname,616500,163820.0,Americas,South America,1,3,3.76
Dominican Republic,10771504,48671.0,Americas,Caribbean,1,1,221.31
Guatemala,18079810,108889.0,Americas,Central America,1,4,166.04
Algeria,47400000,2381741.0,Africa,Northern Africa,1,7,19.9
Ukraine,32862000,603550.0,Europe,Eastern Europe,1,7,54.45
Saint Kitts and Nevis,51320,261.0,Americas,Caribbean,1,0,196.63
Croatia,3866233,56594.0,Europe,Southeast Europe,1,5,68.32
Equatorial Guinea,1668768,28051.0,Africa,Middle Africa,3,2,59.49
Panama,4064780,75417.0,Americas,Central America,1,2,53.9
Belgium,11825551,30528.0,Europe,Western Europe,3,4,387.37
Rwanda,14104969,26338.0,Africa,Eastern Africa,3,4,535.54
French Southern and Antarctic Lands,400,7747.0,Antarctic,,1,0,0.05
Cape Verde,491233,4033.0,Africa,Western Africa,1,0,121.8
South Korea,51159889,100210.0,Asia,Eastern Asia,1,1,510.53
Guam,153836,549.0,Oceania,Micronesia,3,0,280.21
Andorra,88406,468.0,Europe,Southern Europe,1,2,188.9
Senegal,18593258,196722.0,Africa,Western Africa,1,5,94.52
Uruguay,3499451,181034.0,Americas,South America,1,2,19.33
Republic of the Congo,6142180,342000.0,Africa,Middle Africa,3,5,17.96
Namibia,3022401,825615.0,Africa,Southern Africa,9,4,3.66
Singapore,6110200,710.0,Asia,South-Eastern Asia,4,0,8605.92
Finland,5650325,338455.0,Europe,Northern Europe,2,3,16.69
Egypt,107271260,1002450.0,Africa,Northern Africa,1,4,107.01
Palau,16733,459.0,Oceania,Micronesia,2,0,36.46
American Samoa,49710,199.0,Oceania,Polynesia,2,0,249.8
Antigua and Barbuda,103603,442.0,Americas,Caribbean,1,0,234.4
Seychelles,122729,452.0,Africa,Eastern Africa,3,0,271.52
Kuwait,4881254,17818.0,Asia,Western Asia,1,2,273.95
Greece,10400720,131990.0,Europe,Southern Europe,1,4,78.8
Kiribati,120740,811.0,Oceania,Micronesia,2,0,148.88
Cyprus,1442614,9251.0,Europe,Southern Europe,2,0,155.94
Mali,22395489,1240192.0,Africa,Western Africa,1,7,18.06
Bermuda,64055,54.0,Americas,North America,1,0,1186.2
Greenland,56542,2166086.0,Americas,North America,1,0,0.03
Eritrea,3607000,117600.0,Africa,Eastern Africa,3,3,30.67
Tanzania,68153004,947303.0,Africa,Eastern Africa,2,8,71.94
Vietnam,101343800,331212.0,Asia,South-Eastern Asia,1,3,305.98
Chad,19340757,1284000.0,Africa,Middle Africa,2,6,15.06
Ivory Coast,31719275,322463.0,Africa,Western Africa,1,5,98.37
Georgia,4000921,69700.0,Asia,Western Asia,1,4,57.4
Isle of Man,84530,572.0,Europe,Northern Europe,2,0,147.78
Bolivia,11365333,1098581.0,Americas,South America,4,5,10.35
Denmark,6011488,43094.0,Europe,Northern Europe,1,1,139.5
Turkmenistan,7057841,488100.0,Asia,Central Asia,2,4,14.46
Niger,26312034,1267000.0,Africa,Western Africa,1,7,20.77
Micronesia,105564,702.0,Oceania,Micronesia,1,0,150.38
Jersey,103267,116.0,Europe,Northern Europe,3,0,890.23
Cayman Islands,84738,264.0,Americas,Caribbean,1,0,320.98
